date,state,prison_name,prison_population,male_prisoners,female_prisoners,young_prisoners,middle_prisoners,old_prisoners,drug_crimes,violent_crimes,property_crimes,other_crimes
2020-01-31,Selangor,Sungai Buloh Prison,8649,8003,646,4106,3470,1073,4793,1605,1187,1064
2020-01-31,Selangor,Kajang Prison,3604,3335,269,1711,1446,447,1997,668,494,445
2020-01-31,Selangor,Kajang Women's Prison,2163,0,2163,1027,867,269,1198,401,296,268
2020-01-31,Sarawak,Puncak Borneo Prison,1504,1391,113,714,603,187,833,279,206,186
2020-01-31,Sarawak,Sibu Prison,1595,1476,119,757,639,199,884,295,218,198
2020-01-31,Sarawak,Miri Prison,1235,1142,93,586,495,154,684,229,169,153
2020-01-31,Sarawak,Bintulu Prison,2073,1918,155,984,831,258,1148,384,284,257
2020-01-31,Sarawak,Sri Aman Prison,1518,1404,114,720,609,189,841,281,208,188
2020-01-31,Sarawak,Limbang Prison,1342,1241,101,637,538,167,743,249,184,166
2020-01-31,Johor,Simpang Renggam Prison,4045,3743,302,1920,1623,502,2241,750,555,499
2020-01-31,Johor,Kluang Prison,4192,3879,313,1990,1681,521,2323,777,575,517
2020-01-31,Sabah,Kota Kinabalu Prison,2021,1870,151,959,810,252,1120,375,277,249
2020-01-31,Sabah,Kota Kinabalu Women's Prison,2098,0,2098,996,841,261,1162,389,288,259
2020-01-31,Sabah,Tawau Prison,941,870,71,446,377,118,521,174,129,117
2020-01-31,Sabah,Sandakan Prison,1118,1034,84,530,448,140,619,207,153,139
2020-01-31,Perak,Taiping Prison,2059,1905,154,977,826,256,1141,382,282,254
2020-01-31,Perak,Tapah Prison,1441,1333,108,684,578,179,798,267,197,179
2020-01-31,Perak,Kamunting Detention Centre,618,571,47,293,247,78,342,114,84,78
2020-01-31,Kedah,Pokok Sena Prison,1106,1023,83,525,443,138,613,205,151,137
2020-01-31,Kedah,Sungai Petani Prison,921,852,69,437,369,115,510,170,126,115
2020-01-31,Kedah,Alor Star Prison,1062,982,80,504,426,132,588,197,145,132
2020-01-31,Pahang,Bentong Prison,1238,1145,93,587,496,155,686,229,169,154
2020-01-31,Pahang,Penor Prison,1336,1236,100,634,536,166,740,247,183,166
2020-01-31,Penang,Penang Prison,730,675,55,346,292,92,404,135,100,91
2020-01-31,Penang,Seberang Prai Prison,814,753,61,386,326,102,451,151,111,101
2020-01-31,Melaka,Ayer Keroh Prison,343,317,26,162,137,44,190,63,47,43
2020-01-31,Melaka,Sungai Udang Prison,323,298,25,153,129,41,179,59,44,41
2020-01-31,Melaka,Banda Hilir Prison,363,335,28,172,145,46,201,67,49,46
2020-01-31,Negeri Sembilan,Seremban Prison,403,372,31,191,161,51,223,74,55,51
2020-01-31,Negeri Sembilan,Jelebu Prison,369,341,28,175,148,46,204,68,50,47
2020-01-31,Kelantan,Pengkalan Chepa Prison,257,237,20,122,103,32,142,47,35,33
2020-01-31,Terengganu,Marang Prison,257,237,20,122,103,32,142,47,35,33
2020-02-29,Selangor,Sungai Buloh Prison,8746,8294,452,4286,3439,1021,4877,1088,1363,1418
2020-02-29,Selangor,Kajang Prison,3644,3455,189,1786,1432,426,2032,453,568,591
2020-02-29,Selangor,Kajang Women's Prison,2188,0,2188,1072,860,256,1220,272,341,355
2020-02-29,Sarawak,Puncak Borneo Prison,1632,1547,85,799,641,192,910,203,254,265
2020-02-29,Sarawak,Sibu Prison,1441,1366,75,706,566,169,803,179,224,235
2020-02-29,Sarawak,Miri Prison,1428,1354,74,699,561,168,796,177,222,233
2020-02-29,Sarawak,Bintulu Prison,840,796,44,411,330,99,468,104,130,138
2020-02-29,Sarawak,Sri Aman Prison,1970,1868,102,965,774,231,1098,245,307,320
2020-02-29,Sarawak,Limbang Prison,2060,1953,107,1009,810,241,1148,256,321,335
2020-02-29,Johor,Simpang Renggam Prison,3998,3791,207,1959,1572,467,2229,497,623,649
2020-02-29,Johor,Kluang Prison,4332,4108,224,2123,1703,506,2415,539,675,703
2020-02-29,Sabah,Kota Kinabalu Prison,1870,1773,97,916,735,219,1042,232,291,305
